State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Agricultural_Workers,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Television,ST,SC,Rural_Households,Urban_Households,sex_ratio,Literacy_rate
Tripura,West Tripura,23.780166241299337,91.41310788863107,289,1725739,6394,156108,103228,314567,231324,431944,338094,289621,217016,96.0,79.0
Uttar Pradesh,Agra,26.99512974910393,78.05278291517321,146,4418797,27183,234455,251013,536402,433913,7255,991325,496971,406852,87.0,61.0
Uttar Pradesh,Aligarh,27.93748576850093,78.00146831119557,143,3673889,13634,267197,153283,268120,262098,629,755254,582117,275942,88.0,57.0
Uttar Pradesh,Allahabad,25.392038662316445,82.05172446982063,175,5954391,24122,541146,204357,391542,355913,7955,1309851,983266,265304,90.0,62.0
Uttar Pradesh,Ambedkar Nagar,26.39119025974028,82.68282142857147,178,2397888,2509,301120,21512,99581,61470,746,591125,501559,65031,98.0,62.0
Uttar Pradesh,Auraiya,26.66892394014961,79.42637057356607,162,1379545,2404,151727,32687,65479,60174,150,391622,255836,58438,86.0,67.0
Uttar Pradesh,Azamgarh,26.008290954773837,83.01220251256285,191,4613913,6652,452055,49699,183381,159910,9327,1171378,891024,80434,102.0,60.0
Uttar Pradesh,Baghpat,29.045793499999988,77.30266300000001,139,1303048,2989,74500,44732,119121,111663,14,149060,246055,69991,86.0,61.0
Uttar Pradesh,Bahraich,27.691776300578027,81.46779783237004,180,3487731,2681,482897,38940,85814,71676,11159,509307,698520,61742,89.0,40.0
Uttar Pradesh,Ballia,25.86075638297873,84.03651978723408,193,3239774,4672,384432,62157,119972,115533,110114,494698,564927,64454,94.0,61.0
Uttar Pradesh,Balrampur,27.449076537911324,82.47158326180256,182,2148665,1551,328768,16229,57400,34497,24887,277212,410070,35768,93.0,40.0
Uttar Pradesh,Banda,25.351885902503284,80.52487391304344,170,1799410,1655,273458,26907,73522,52233,163,387855,378056,67569,86.0,56.0
Uttar Pradesh,Bara Banki,26.922777025232424,81.35762350597606,176,3260699,3159,421973,60554,108116,116157,610,864559,635840,79068,91.0,52.0
Uttar Pradesh,Bareilly,28.51101940789474,79.43187072368416,150,4448359,15164,326376,210687,272830,300504,3227,557150,631613,362798,89.0,49.0
Uttar Pradesh,Basti,26.833880454545447,82.69790590909092,185,2464464,3423,282260,37593,108101,76856,3620,513959,513960,31065,96.0,57.0
Uttar Pradesh,Bijnor,29.313974259681096,78.45098815489754,134,3682713,7303,311489,128042,268353,260312,3058,787444,683875,224648,92.0,58.0
Uttar Pradesh,Bulandshahr,28.34875862068968,78.01082758620684,142,3499171,7865,241137,124641,223922,254050,198,725600,658449,221628,90.0,58.0
Uttar Pradesh,Chandauli,25.1180859611231,83.25307062634984,196,1952756,3492,248674,32433,99602,109887,41725,446786,344937,50822,92.0,60.0
Uttar Pradesh,Chitrakoot,25.159924623803,81.07666087551297,171,991730,827,150695,11637,41046,27006,366,266655,207237,23558,88.0,54.0
Uttar Pradesh,Deoria,26.42218856548857,83.8244070686071,190,3100946,4469,291016,60348,150001,122308,109894,468663,597778,67928,102.0,60.0
Uttar Pradesh,Etah,27.591155309734443,78.70021858407083,201,1774480,2635,131779,37027,69591,79090,140,281011,334246,67752,87.0,59.0
Uttar Pradesh,Etawah,26.78817670157068,79.07621806282728,161,1581810,2964,158026,47520,113098,84543,169,388283,265643,85483,87.0,67.0
Uttar Pradesh,Faizabad,26.60589185185181,82.00783530864202,177,2470996,4746,272734,58328,127754,99531,931,555047,510378,79288,96.0,59.0
Uttar Pradesh,Farrukhabad,27.45063297872342,79.4406284574468,159,1885204,2624,135679,59209,88081,87314,230,312712,316647,94843,87.0,58.0
Uttar Pradesh,Fatehpur,25.8374362030905,80.85416203090509,172,2632733,3385,425366,43492,75263,97968,340,651480,558807,77733,90.0,57.0
Uttar Pradesh,Firozabad,27.20963993055552,78.42660624999998,147,2498156,5834,150221,100919,196080,169583,2565,473890,349747,185621,88.0,61.0
Uttar Pradesh,Gautam Buddha Nagar,28.393311038961038,77.52462467532465,141,1648115,53181,48845,193902,257586,232925,2215,216105,170835,338935,85.0,68.0
Uttar Pradesh,Ghaziabad,28.74997308584685,77.67441879350343,140,4681645,78116,123680,501592,695130,592753,3968,773463,355407,836316,88.0,67.0
Uttar Pradesh,Ghazipur,25.624724775583484,83.5360854578097,195,3620268,5309,435934,36798,105767,139187,28712,726641,700173,61467,95.0,61.0
Uttar Pradesh,Gonda,27.157215552099505,82.0226888024882,183,3433919,4313,431532,45517,104084,78099,870,531973,673578,52794,92.0,49.0
Uttar Pradesh,Gorakhpur,26.63315886792452,83.3549560377358,188,4440895,14597,454931,149727,296619,255280,18172,936061,761958,189170,95.0,61.0
Uttar Pradesh,Hardoi,27.337409090909137,80.26411767676768,155,4092845,3845,406830,60689,95508,132969,349,1274505,786613,121064,87.0,54.0
Uttar Pradesh,Jalaun,26.067954587155988,79.36686911314993,165,1689974,2217,243035,42616,104176,90428,832,468178,304856,91565,87.0,64.0
Uttar Pradesh,Jaunpur,25.70141280913127,82.54315351934063,194,4494204,8002,436792,56508,181467,211780,4736,990345,926088,80582,102.0,61.0
Uttar Pradesh,Jhansi,25.45581535234902,78.89954580536917,166,1998603,8517,248072,94342,183340,163900,3873,562505,309592,195321,89.0,65.0
Uttar Pradesh,Jyotiba Phule Nagar,28.870498984771597,78.39009365482241,137,1840221,2825,131877,55064,89329,101804,164,318001,335888,115486,91.0,53.0
Uttar Pradesh,Kannauj,26.993988617886185,79.64437940379408,160,1656616,2488,129517,32510,61491,64187,15,309980,299785,65985,88.0,61.0
Uttar Pradesh,Kanpur Dehat,26.43047641196011,79.98710083056478,163,1796184,2682,234069,23831,49753,65556,801,460544,363933,41323,86.0,65.0
Uttar Pradesh,Kaushambi,25.53587532051282,81.41811282051287,174,1599596,1503,321410,22034,43753,52946,193,555397,349856,30764,91.0,51.0
Uttar Pradesh,Kushinagar,26.892530675909864,83.92261542461007,189,3564544,3486,528388,29304,127331,103014,80269,544231,742324,42775,96.0,55.0
Uttar Pradesh,Lalitpur,24.58877161016945,78.60082330508473,167,1221592,1079,131354,20720,77082,53524,71610,240519,258013,43819,91.0,52.0
Uttar Pradesh,Lucknow,26.838233589251463,80.89706026871404,157,4589838,68506,203029,469747,582769,506413,7506,948294,344155,717566,92.0,68.0
Uttar Pradesh,Mahoba,25.34529670138888,79.67863003472216,169,875958,1316,130422,12874,42936,35422,647,220898,198298,48525,88.0,56.0
Uttar Pradesh,Mainpuri,27.17386862302482,79.03501851015807,148,1868529,2642,137174,43074,79022,76780,478,368206,338475,72783,88.0,64.0
Uttar Pradesh,Mathura,27.59390432801821,77.62153416856502,145,2547184,8726,179248,107867,281239,221574,1520,506580,407488,177802,86.0,59.0
Uttar Pradesh,Mau,26.01082203791469,83.50582654028433,192,2205968,2656,212343,40087,149908,82073,22915,474537,352207,99321,98.0,62.0
Uttar Pradesh,Meerut,29.02957625698323,77.80611005586593,138,3443689,23717,153995,236071,425624,354359,3390,624149,381520,422303,89.0,62.0
Uttar Pradesh,Mirzapur,25.10207959183675,82.60126628571429,199,2496970,4447,334372,43500,145997,136132,20132,661129,465152,77963,90.0,57.0
Uttar Pradesh,Moradabad,28.851770406189537,78.73580193423597,135,4772006,11690,338384,179473,281758,283005,685,731406,692398,355518,91.0,47.0
Uttar Pradesh,Muzaffarnagar,29.470507977736563,77.64017847866423,133,4143512,10077,323641,147785,368153,331760,317,561250,673746,296104,89.0,58.0
Uttar Pradesh,Pilibhit,28.52024175035868,79.90103974175037,151,2031007,2870,224192,47723,83006,106945,1714,333558,371752,89638,89.0,52.0
Uttar Pradesh,Pratapgarh,25.864842731707316,81.93530048780492,131,867848,716,96815,17984,71612,37216,550427,60429,209813,24269,98.0,46.0
Uttar Pradesh,Pratapgarh,25.864842731707316,81.93530048780492,173,3209141,5149,386563,46358,140538,135185,723,709252,711085,41701,100.0,60.0
Uttar Pradesh,Rae Bareli,26.253902840059787,81.22260463378181,158,3405559,5184,507882,65080,247856,130197,1756,1030367,705025,73393,94.0,58.0
Uttar Pradesh,Rampur,28.83244727272725,79.10977333333337,136,2335819,3847,230238,62281,131112,134249,358,307936,396775,143217,91.0,45.0
Uttar Pradesh,Saharanpur,30.03381165217392,77.59905147826095,132,3466382,9699,273050,149035,404499,294410,980,764450,605082,284156,89.0,60.0
Uttar Pradesh,Sant Kabir Nagar,26.791596516393444,83.0387764344262,186,1715183,2031,241825,17671,79525,49191,1593,369039,324972,27179,97.0,56.0
Uttar Pradesh,Shahjahanpur,27.991389350649328,79.8302275324675,152,3006538,3889,275192,91958,115163,135885,508,532673,520289,134714,87.0,50.0
Uttar Pradesh,Sitapur,27.501995963091108,80.85288881199547,154,4483992,3874,473554,74072,102040,123246,1602,1446427,827583,111319,89.0,51.0
Uttar Pradesh,Sonbhadra,24.46693268858798,83.06816324951639,200,1862559,5149,371261,40467,95582,80712,385018,421661,337048,91040,92.0,53.0
Uttar Pradesh,Sultanpur,26.2846386419753,82.05710456790123,179,3797117,5956,501634,55055,233701,135697,696,851587,839737,49891,98.0,59.0
Uttar Pradesh,Unnao,26.63163990895297,80.636773292868,156,3108367,3476,332663,70484,99466,134235,2926,948588,596317,121039,91.0,57.0
Uttar Pradesh,Varanasi,25.36057088888889,82.82529666666672,197,3676841,19214,182146,202055,336056,309911,28617,486958,438935,316129,91.0,65.0
Uttaranchal,Almora,29.683532133676103,79.50165064267351,64,622506,1830,10274,40199,109876,70237,1281,150995,260056,21082,114.0,70.0
Uttaranchal,Bageshwar,29.98703393393397,79.83954354354357,63,259898,435,8985,13352,47083,25873,1982,72061,96031,3880,109.0,69.0
Uttaranchal,Chamoli,30.58338611464965,79.56281095541402,57,391605,899,3845,27853,71524,46579,12260,79317,163434,22906,102.0,72.0
Uttaranchal,Champawat,29.29142393939393,80.07720212121217,65,259648,548,4032,18785,37725,22588,1339,47383,85202,12839,98.0,68.0
Uttaranchal,Pithoragarh,30.14720631868129,80.34229230769236,62,483439,1344,5432,45365,95421,58954,19535,120378,183687,26256,102.0,71.0
Uttaranchal,Tehri Garhwal,30.463700918635173,78.48783792650917,59,618931,1366,8129,50929,117239,68294,875,102130,227059,27177,108.0,66.0
Uttaranchal,Udham Singh Nagar,29.02779577677222,79.45629004524895,67,1648902,7883,165250,116576,254802,192243,123037,238264,269406,145253,92.0,63.0
Uttaranchal,Uttarkashi,30.968958552036234,78.56880615384617,56,330086,602,4387,21374,52621,29400,3512,80567,112148,9061,96.0,65.0
West Bengal,Bankura,23.081280892857155,87.12640053571437,339,3596674,4273,647374,45126,334670,177819,368690,1174447,900515,90885,96.0,62.0
West Bengal,Barddhaman,23.444453888888884,87.8150581111111,335,7717563,32323,973182,292585,1049943,747286,489447,2115719,1364868,862368,95.0,68.0
West Bengal,Birbhum,24.06389342723,87.65153089201888,334,3502404,5210,611510,57010,333752,191514,242484,1033140,831044,134565,96.0,62.0
West Bengal,Dakshin Dinajpur,25.342094363021435,88.69821679819614,331,1676276,2518,279932,37186,168069,103980,275366,482754,390949,70077,96.0,65.0
West Bengal,Darjiling,26.839619571045585,88.33145067024122,327,1846823,10943,66041,141897,297176,222987,397389,317275,303284,215675,97.0,71.0
West Bengal,Haora,22.401674174428507,87.99421176968654,341,4850029,30751,181662,325053,796953,539312,15094,718951,483384,869313,94.0,74.0
West Bengal,Hugli,22.87929264705881,88.00010264705891,338,5519145,31725,583380,319815,965258,628340,229243,1344021,992085,647953,96.0,74.0
West Bengal,Jalpaiguri,26.62642031250004,89.04154375000003,328,3872846,9322,349672,138522,382500,268908,731704,1458278,798378,319426,95.0,65.0
West Bengal,Kolkata,22.550581481481483,88.3527648148148,342,4496694,136618,12388,623579,927602,816141,10684,241932,0,1308106,91.0,80.0
West Bengal,Maldah,25.08026802575105,88.17191684549356,332,3988845,5357,545759,54213,297716,142659,313984,835430,830318,128678,94.0,52.0
West Bengal,Murshidabad,24.25950655391121,88.16816860465121,333,7103807,7951,842294,92742,541169,296566,91035,897534,1501066,350899,96.0,57.0
West Bengal,Nadia,23.56410971055088,88.58293034547152,336,5167600,12787,556134,168314,623729,384314,140700,1546917,1081381,468390,95.0,67.0
West Bengal,Puruliya,23.254192328767108,86.3968532876713,340,2930115,3551,492205,30675,189889,104489,540652,567767,653219,99433,96.0,55.0
West Bengal,Uttar Dinajpur,26.044619165196977,88.23595232216337,330,3007134,2883,442328,39138,199307,105431,162816,807950,683981,94269,94.0,50.0
