State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Agricultural_Workers,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Television,ST,SC,Rural_Households,Urban_Households,sex_ratio,Literacy_rate
Maharashtra,Jalna,19.984612534818933,75.98473607242339,514,1959046,3791,300937,60219,288895,158182,42263,272266,404746,98084,94.0,61.0
Maharashtra,Kolhapur,16.44881301587301,74.12897150793648,530,3876001,22269,266028,340318,770005,507573,30206,504461,796496,382818,96.0,73.0
Maharashtra,Latur,18.348687268993856,76.75812607802874,524,2454196,6217,416578,96018,381722,190739,57488,480913,428616,157016,93.0,67.0
Maharashtra,Nagpur,21.196556862745105,79.02166176470584,505,4653570,57964,423587,599780,917626,728714,437571,867713,430844,877522,95.0,79.0
Maharashtra,Nanded,19.209316983017,77.6829048951049,511,3361292,7548,632395,116284,488748,216364,281695,640483,591119,230563,94.0,65.0
Maharashtra,Nandurbar,21.523175625248147,74.32638757443429,497,1648295,2579,438176,54335,186202,83144,1141933,47985,333440,71572,98.0,55.0
Maharashtra,Nashik,20.266912871287143,74.03824168316828,516,6107187,45039,730228,536781,904710,630639,1564369,554687,904661,764271,93.0,71.0
Maharashtra,Osmanabad,18.19459456066944,75.99495575313809,525,1657576,3209,299525,49180,240042,117741,36039,265184,367158,77832,92.0,69.0
Maharashtra,Parbhani,19.31032425249168,76.70163338870431,513,1836086,3982,317806,59272,272486,135933,40514,247308,293480,133759,95.0,63.0
Maharashtra,Pune,18.51696171428573,74.12922881632647,521,9429408,235018,414461,1410448,1925019,1555272,348876,1180703,1165718,2056739,91.0,76.0
Maharashtra,Ratnagiri,17.210195070127703,73.25725893866404,528,1615069,7752,153117,100860,367352,163470,20374,66948,538538,100824,112.0,74.0
Maharashtra,Sangli,17.154930181086502,74.70713822937628,531,2822143,13212,290693,227034,485126,310230,18333,353093,626872,226801,97.0,73.0
Maharashtra,Satara,17.6737908974359,74.18052064102558,527,3003741,14093,297241,271186,562653,374085,29635,323236,774522,200949,99.0,74.0
Maharashtra,Sindhudurg,16.170948049777163,73.51329008172343,529,849651,3517,81816,42540,194228,98475,6976,55586,295847,44989,104.0,78.0
Maharashtra,Solapur,17.837357937584812,75.42394823609216,526,4317756,15145,558334,248255,595560,376000,77592,649745,779929,376302,94.0,67.0
Maharashtra,Thane,19.698767747440264,72.79882742564581,517,11060148,256170,418004,1610460,2231800,1741244,1542451,730089,713994,2904157,89.0,74.0
Maharashtra,Wardha,20.80743024390242,78.57259105691062,504,1300774,4313,282170,114029,266155,170620,149507,188830,268486,120218,95.0,78.0
Maharashtra,Washim,20.282282394366213,77.25502394366208,502,1197160,1875,310195,36840,196022,97022,80471,229462,274925,55921,93.0,73.0
Maharashtra,Yavatmal,20.04258346738159,78.05326371760479,510,2772348,6094,739718,134500,446516,245261,514057,328518,629243,168889,95.0,73.0
Manipur,Bishnupur,24.50712111801243,93.8246236024845,275,237399,676,15109,11393,34364,23140,3287,22113,34977,21172,100.0,66.0
Manipur,Chandel,24.2635812987013,94.09443844155844,280,144182,184,8315,1424,18764,8319,128280,540,30377,3783,93.0,63.0
Manipur,Churachandpur,24.30309718875504,93.38671506024085,274,274143,837,8282,13371,29894,17498,254787,443,52972,4853,97.0,71.0
Manipur,Senapati,25.08465586034914,94.03366234413956,272,479148,256,30369,2430,22798,9623,419210,1000,38008,1826,94.0,55.0
Manipur,Tamenglong,24.98312942238265,93.49450740072204,273,140651,125,1924,1229,11541,5233,134626,22,23982,4119,94.0,60.0
Manipur,Thoubal,24.545392553191498,93.97959893617023,276,422168,880,33106,15994,49507,34893,1808,40593,65961,38302,100.0,64.0
Manipur,Ukhrul,25.05900314960629,94.44129566929138,279,183998,276,3852,1659,14026,7360,173606,248,36084,5806,94.0,71.0
Meghalaya,East Garo Hills,25.82728228228228,90.64684924924916,294,317917,288,19246,1839,24550,15115,305180,509,62698,11518,97.0,60.0
Meghalaya,East Khasi Hills,25.303763888888884,91.75922519841272,298,825922,5032,40889,41496,135941,79933,661158,5642,106248,108843,101.0,70.0
Meghalaya,Jaintia Hills,25.33959557069844,92.37608160136298,299,395124,510,35766,7150,41677,17352,376099,1317,76546,7171,101.0,47.0
Meghalaya,South Garo Hills,25.240568578553614,90.64560349127176,295,142334,179,5565,482,10940,6721,134237,319,35930,3713,95.0,58.0
Meghalaya,West Garo Hills,25.495285185185185,90.03709947089942,293,643291,1630,39725,10006,51301,35051,474009,8810,139351,18594,98.0,56.0
Meghalaya,West Khasi Hills,25.500889926739926,91.25364542124538,296,383461,149,37184,476,32873,12548,375097,168,74832,12299,98.0,60.0
Mizoram,Aizawl,23.90781335453101,92.85359459459472,283,400309,4019,11434,64710,79804,59257,373542,627,20570,80341,101.0,85.0
Mizoram,Champhai,23.54166580976866,93.24221799485862,284,125745,186,5823,9115,23948,13445,123466,17,18395,12717,98.0,80.0
Mizoram,Kolasib,24.2020004347826,92.73470391304348,282,83955,367,5921,8787,14853,8392,73609,84,9669,12507,96.0,78.0
Mizoram,Lawngtlai,22.36102843137253,92.66964156862753,287,117894,162,3153,5213,9283,6657,112354,146,21993,5273,95.0,53.0
Mizoram,Lunglei,23.007717036172675,92.63512555425892,286,161428,482,10662,14037,26394,15871,153533,178,21479,17315,95.0,75.0
Mizoram,Mamit,23.73852942502819,92.4330803833147,281,86364,90,2553,4010,12158,6263,82080,51,16726,4129,93.0,70.0
Mizoram,Saiha,22.35744801061008,93.02827931034489,288,56574,168,957,4783,7400,4797,54642,83,7043,5784,98.0,75.0
Mizoram,Serchhip,23.263864705882344,92.914158496732,285,64937,131,1284,5511,12315,7043,62889,32,7472,8018,98.0,84.0
Nagaland,Dimapur,25.814176811594223,93.75074057971014,265,378811,3303,8990,42378,71413,50453,223989,0,49116,62853,92.0,73.0
Nagaland,Kohima,25.60311428571428,93.78600657596373,270,267988,1928,2198,20712,50724,29077,224738,0,31845,44255,93.0,74.0
Nagaland,Mokokchung,26.478911764705888,94.522426006192,262,194622,537,9166,7236,40154,20192,178431,0,37536,17742,93.0,82.0
Nagaland,Mon,26.69207374301676,95.03072988826828,261,250260,178,10836,1080,14398,5647,238285,0,43607,7415,90.0,48.0
Nagaland,Phek,25.63272986577182,94.56814563758392,266,163418,170,3159,2073,36182,9553,157146,0,38903,7295,95.0,65.0
Nagaland,Tuensang,26.21104453280316,94.85809880715708,267,196596,155,3913,773,24998,7687,190916,0,40690,9451,93.0,60.0
Nagaland,Wokha,26.202611551155112,94.1990815181518,264,166343,198,6438,3228,25268,10923,156621,0,38499,8170,97.0,77.0
Nagaland,Zunheboto,26.028178205128206,94.50026666666668,263,140757,261,11955,1433,28846,9954,136561,0,31267,6044,98.0,73.0
Orissa,Baleshwar,21.48570932311624,87.08085828011933,377,2320529,7370,358214,36478,296834,161266,275678,478586,601154,82440,96.0,70.0
Orissa,Bhadrak,20.95262735257214,86.81496204516931,378,1506337,2637,151377,15864,164636,86821,30428,334896,373862,54244,98.0,73.0
Orissa,Cuttack,20.407640646029623,85.7776810228802,381,2624470,15046,248298,103177,349587,236867,93745,498633,579529,210768,94.0,77.0
Orissa,Dhenkanal,20.79887159353349,85.53226836027711,383,1192811,1810,163636,19846,117172,66148,162056,234079,315390,36979,95.0,70.0
Orissa,Gajapati,19.121080882352945,84.14015091911759,389,577817,635,153199,12035,63112,23672,313714,39175,152095,23050,104.0,45.0
Orissa,Ganjam,19.2632617564534,84.80297710437702,388,3529031,9049,565448,120191,405298,257515,118928,688235,795476,219918,98.0,63.0
Orissa,Jharsuguda,21.827058566978184,83.93581682242987,371,579505,2498,56809,18950,81433,57831,176758,104620,103224,73962,95.0,70.0
Orissa,Kalahandi,19.784253092783523,83.1124043814433,395,1576869,1953,436733,17610,91171,58571,449456,286580,456336,38412,100.0,51.0
Orissa,Kandhamal,20.092878624813142,84.02216352765326,390,733110,768,162932,6938,28736,19477,392820,115544,218446,24489,104.0,55.0
Orissa,Kendrapara,20.606319815982264,86.83763247572003,379,1440361,1628,143864,15879,173107,96234,9484,309780,414749,23494,101.0,76.0
Orissa,Khordha,20.054162322274863,85.52234834123229,386,2251673,35701,116274,160277,349860,253754,115051,297472,331834,356895,93.0,78.0
Orissa,Koraput,18.82627794779476,82.81278469846964,398,1379647,3988,290626,39631,85766,60021,697583,196540,381789,78339,103.0,41.0
Orissa,Malkangiri,18.25227930367506,81.98293636363628,399,613192,448,106353,4738,24604,16397,354614,138295,167884,15839,102.0,40.0
Orissa,Mayurbhanj,21.897621545157754,86.4030408052231,376,2519738,2950,568755,29031,140189,83167,1479576,184682,689110,64479,101.0,54.0
Orissa,Nayagarh,20.192895622119817,85.05614700460825,385,962789,1163,120129,11159,124984,50425,58691,136399,261646,26688,92.0,71.0
Orissa,Nuapada,20.471309512195116,82.59152536585364,394,610382,757,149834,6414,43976,21975,206327,82159,197258,11869,102.0,49.0
Orissa,Puri,19.83509174603177,85.86698989898981,387,1698730,3416,163942,33331,201605,118112,6129,325133,402014,72210,96.0,76.0
Orissa,Rayagada,19.292840020060204,83.45860120361095,396,967911,1553,248175,24924,61543,42998,541905,139514,237343,49205,105.0,42.0
Orissa,Sambalpur,21.515752380952385,84.34958483245157,372,1041099,5231,160798,33612,126498,91058,355261,191827,220697,94798,98.0,68.0
Orissa,Sundargarh,22.06354819277107,84.50524819277099,374,2093437,12787,253327,77581,223537,164585,1062349,191660,387911,230151,97.0,64.0
Puducherry,Karaikal,10.876161726078813,79.82369793621002,637,200222,1868,13077,28366,47880,38869,0,35348,35618,33715,105.0,77.0
Puducherry,Mahe,12.006420793787758,75.28275021570326,636,41816,574,82,3632,7150,6488,0,144,0,12110,118.0,87.0
Puducherry,Yanam,16.707695652173904,82.26187304347832,634,55626,207,3324,10399,12859,7393,0,8427,0,15519,104.0,71.0
Punjab,Amritsar,31.548679820627772,74.79883856502238,49,2490656,29961,121599,279993,461231,413460,0,770864,275477,385476,89.0,68.0
Punjab,Bathinda,30.190524611973352,75.05685898004438,46,1388525,11284,128382,118427,255650,204051,0,450473,218159,137563,87.0,61.0
Punjab,Faridkot,30.591187250996025,74.79751553784862,45,617508,4348,54058,62103,113549,93053,0,240328,99946,58917,89.0,62.0
Punjab,Fatehgarh Sahib,30.64290947368421,76.36208394736842,40,600163,5138,21389,64037,113683,98080,0,192493,117559,57337,87.0,71.0
Punjab,Firozpur,30.63407535211269,74.40245732394365,43,2029074,10042,227971,141899,349662,277615,0,855726,348522,153868,89.0,60.0
Punjab,Gurdaspur,32.04283371212125,75.3204064393939,35,2298323,14428,100684,244468,411216,365644,0,580576,420860,185488,90.0,71.0
Punjab,Hoshiarpur,31.55157169811319,75.8469857442349,38,1586625,13747,74362,201675,319930,285904,0,557504,422673,128592,96.0,76.0
Punjab,Jalandhar,31.250336907216507,75.54400350515463,37,2193590,39082,66664,299449,446200,401189,0,854444,330339,377791,92.0,74.0
Punjab,Kapurthala,31.336592638036837,75.47641165644177,36,815168,9732,42387,110555,161206,144945,0,276707,165433,95770,91.0,71.0
Punjab,Ludhiana,30.76596397379912,75.83110851528383,41,3498739,58589,98646,488757,703624,604959,0,923358,395032,641789,87.0,73.0
Punjab,Mansa,29.919547714285724,75.4304922857143,47,769751,2673,90367,39414,140099,102314,0,258878,145603,50786,88.0,55.0
Punjab,Moga,30.756540067340065,75.1600845117845,42,995746,7897,82397,89445,183396,152610,0,363417,214295,74144,89.0,63.0
Punjab,Muktsar,30.31243303303303,74.5518747747748,44,901896,4571,111014,76441,166585,130482,0,381554,149507,74650,90.0,58.0
Punjab,Patiala,30.214540380693364,76.27505893949697,48,1895686,24274,89123,209192,352929,308440,0,465359,299279,218090,89.0,67.0
Punjab,Rupnagar,30.910937330754347,76.53743500967126,51,684627,6600,21520,67749,129123,111937,0,180905,148162,60537,92.0,73.0
Punjab,Sangrur,30.185045204336895,75.89437014178496,53,1655169,10736,91799,135280,305557,244837,0,461609,292156,156788,89.0,61.0
Rajasthan,Ajmer,26.199300378787903,74.6990419191919,119,2583052,13499,145523,171799,393498,250461,63482,478027,409335,274919,95.0,59.0
Rajasthan,Alwar,27.55271738035265,76.65359630562563,104,3674179,9750,216772,123478,485723,258862,289249,653036,782294,212967,89.0,59.0
Rajasthan,Banswara,23.453642032967014,74.44246868131869,125,1797485,2324,199370,34189,120603,48693,1372999,80091,390437,39407,98.0,46.0
Rajasthan,Baran,24.98023243243244,76.86210651828291,128,1222755,1363,185037,32685,161310,88344,276857,221184,249184,69804,93.0,57.0
Rajasthan,Barmer,25.77070908045978,71.50297126436782,115,2603751,2766,132696,39580,126494,52926,176257,436414,542825,55980,90.0,46.0
Rajasthan,Bharatpur,27.32411858037578,77.21752077244258,105,2548462,4179,238894,61113,288723,160190,54090,557305,479437,129697,88.0,58.0
Rajasthan,Bhilwara,25.45119767759564,74.63947595628417,122,2408523,6207,163052,93768,373644,175393,229273,407947,530015,145865,97.0,52.0
Rajasthan,Bikaner,28.12489068322981,73.26943322981371,101,2363937,7607,103833,108812,220793,138480,7779,493646,335754,196179,91.0,54.0
Rajasthan,Bundi,25.48580716049379,75.79984074074079,121,1110906,1392,111388,33406,136969,78692,228549,210788,239836,63452,92.0,53.0
Rajasthan,Chittaurgarh,24.631623761665463,74.80010997846382,126,1544338,4941,123469,59190,268172,119801,201546,250224,366780,88873,97.0,53.0
Rajasthan,Churu,28.29330375536484,74.65846427038629,102,2039547,2577,87983,74197,231696,131174,11245,451721,344897,148996,94.0,56.0
Rajasthan,Dausa,26.91234817629181,76.57342097264443,109,1634409,1719,76277,35600,195277,82113,433344,354337,361084,59610,91.0,57.0
Rajasthan,Dhaulpur,26.72397054945053,77.74476219780222,106,1206516,1330,74342,24561,96086,51423,58594,245695,214670,58626,85.0,57.0
Rajasthan,Dungarpur,23.75104807692308,73.84765641025645,124,1388552,1477,184330,26351,141275,46510,983437,52267,322816,31547,99.0,49.0
Rajasthan,Ganganagar,29.256785412667963,73.56192303262948,99,1969168,6295,230438,88543,283142,181616,13477,720412,397697,164897,89.0,61.0
Rajasthan,Hanumangarh,29.1813351791531,74.74632573289902,100,1774692,3360,166833,55515,243163,140280,14289,494189,389059,108694,91.0,58.0
Rajasthan,Jaipur,27.033459290187885,75.77117286012533,110,6626178,76565,131523,570997,990085,764302,527966,1003302,754841,977838,91.0,65.0
Rajasthan,Jaisalmer,26.86900838548185,71.18371877346682,114,669919,754,43872,12431,43141,19388,42429,99134,159117,30830,85.0,46.0
Rajasthan,Jalor,25.07578093797277,72.18647261724662,116,1828730,1585,158013,39745,161845,54245,178719,357196,419216,48202,95.0,45.0
Rajasthan,Jhalawar,24.24725541474657,76.11242891705065,129,1411129,1750,209772,38909,220428,96225,182229,243582,298624,63763,95.0,52.0
Rajasthan,Jhunjhunun,28.13517401247401,75.52840893970894,103,2137045,4828,68878,131987,297559,189511,41629,360709,500452,150357,95.0,64.0
Rajasthan,Jodhpur,26.678460838536967,73.00450847457628,113,3687165,19335,242017,197135,408808,246002,118924,608024,584215,307442,92.0,55.0
Rajasthan,Karauli,26.51901555555556,76.96081818181815,107,1458248,1059,115367,28296,132079,49752,324960,354465,305047,59308,86.0,55.0
Rajasthan,Kota,25.175718080000014,76.18618928000001,127,1951014,12843,134992,165563,339899,236764,183816,405408,203454,311735,91.0,67.0
Rajasthan,Nagaur,27.07862016048146,74.14215667001012,112,3307743,4449,263401,97267,347344,184518,10418,699911,675712,166489,95.0,53.0
Rajasthan,Pali,25.80490393541874,73.55285640766907,118,2037573,4043,237280,94821,326793,154761,144578,398096,512909,139808,99.0,53.0
Rajasthan,Rajsamand,25.24894767441859,73.96570215946844,123,1156597,1989,106587,36073,193276,80267,160809,148168,304622,61054,99.0,54.0
Rajasthan,Sawai Madhopur,26.251081180223288,76.4219283891548,108,1335551,1887,88804,40116,140947,61935,285848,278789,282057,71264,90.0,56.0
Rajasthan,Sikar,27.64644058641976,75.29317422839503,111,2677333,5647,87889,131342,339457,218772,75349,418806,527560,178274,95.0,62.0
Rajasthan,Sirohi,24.7976905263158,72.75309131578943,117,1036346,2146,97823,47182,134089,65197,292470,201863,238535,69639,94.0,46.0
Rajasthan,Tonk,26.153935071707927,75.79192216427637,120,1421326,1908,113426,32359,158264,83447,178207,287903,298911,81755,95.0,53.0
Rajasthan,Udaipur,24.44076752136749,73.84029839743584,130,3068420,14211,302968,128320,357846,180282,1525289,188525,665449,182769,96.0,52.0
Sikkim,East,27.29600352941175,88.74908392156858,93,1709346,80037,3094,327253,352758,320151,0,281422,1086,461132,88.0,79.0
Tamil Nadu,Ariyalur,11.190514836795256,79.22249643916912,616,754894,1749,166837,39642,177502,165150,10722,176230,223955,30322,101.0,64.0
Tamil Nadu,Chennai,13.058098905608748,80.28139151846806,603,4646732,217368,13674,910262,1096334,1055696,10061,779667,0,1314125,99.0,81.0
Tamil Nadu,Coimbatore,10.871376995940452,77.07619012178621,632,3458045,63273,230026,675153,896325,841918,28342,535911,284795,884957,100.0,76.0
Tamil Nadu,Cuddalore,11.57587300613498,79.63002365371497,617,2605914,15396,539412,244610,598412,555029,15702,763944,497429,260780,99.0,70.0
Tamil Nadu,Dharmapuri,12.300141200000006,78.11509813333339,630,1506843,3651,267345,104785,337972,310765,63044,245392,396819,91107,95.0,61.0
Tamil Nadu,Dindigul,10.377801390820574,77.78011279554937,612,2159775,9155,467959,209640,500057,458486,8064,452376,443818,269724,100.0,69.0
Tamil Nadu,Erode,11.267012155963302,77.42034334862392,610,2251744,18604,370212,371015,595211,557479,21880,369483,411286,432398,99.0,66.0
Tamil Nadu,Kancheepuram,12.496424756511884,80.08820360135913,604,3998252,100322,272514,622095,961161,904619,41210,948081,438799,774705,99.0,75.0
Tamil Nadu,Kanniyakumari,8.183466300191206,77.32053064053538,629,1870374,15673,72867,199188,465692,438938,7282,74249,104253,493788,102.0,83.0
Tamil Nadu,Karur,10.79532776617955,78.08749686847604,613,1064493,4915,200837,135831,264949,250010,575,221385,212241,152420,102.0,68.0
Tamil Nadu,Madurai,9.904313833333331,78.01366033333332,623,3038252,34097,372828,391821,754141,708942,11096,408976,417718,592723,99.0,75.0
Tamil Nadu,Nagapattinam,10.789468161718286,79.79437299431483,618,1616450,5585,345057,143846,381940,362211,3756,509767,399016,118724,103.0,75.0
Tamil Nadu,Namakkal,11.33766638477801,78.14624841437633,609,1726601,8960,253726,265276,441044,418420,57059,345392,370357,257127,99.0,68.0
Tamil Nadu,Perambalur,11.260137758112096,78.86034011799416,615,565223,1507,118278,49390,135751,125953,2584,175289,155413,33179,100.0,66.0
Tamil Nadu,Pudukkottai,10.130514816433578,79.05444484265728,621,1618345,4494,305149,82967,354493,324444,1283,284804,399712,104229,101.0,69.0
Tamil Nadu,Ramanathapuram,9.31286995153476,78.99185362412462,626,1353445,5172,153874,100484,291400,284169,1105,249008,290478,126761,98.0,72.0
Tamil Nadu,Salem,11.629324202127655,78.2478257978723,608,3482056,20660,454210,448968,835377,749932,119369,580512,572813,597539,95.0,66.0
Tamil Nadu,Sivaganga,9.960306580645158,78.56535729032255,622,1339101,5773,199563,113822,314270,304124,790,227746,309224,143193,100.0,72.0
Tamil Nadu,Thanjavur,10.387692255892237,79.3194869107745,620,2405890,13495,415361,223044,555582,522490,3561,455062,479070,274302,103.0,74.0
Tamil Nadu,Theni,9.924066666666668,77.43458833333332,624,1245899,4667,315161,147529,312310,291879,1835,258200,189328,221295,99.0,70.0
Tamil Nadu,Thiruvallur,13.275858101752885,80.19724702864492,602,3728104,75634,270586,621907,909400,857364,47243,821646,387237,732196,99.0,75.0
Tamil Nadu,Thiruvarur,10.368927409395978,79.60322893959727,619,1264277,4416,295188,109580,303114,287260,3034,430927,321331,86848,102.0,75.0
Tamil Nadu,Tiruvannamalai,12.419318947368414,79.23265631578953,606,2464875,6445,525063,176242,549077,505170,90954,565329,563102,147061,99.0,66.0
Tamil Nadu,Vellore,12.784882632293078,79.02643283582084,605,3936331,20623,391955,417535,865913,797713,72955,860212,653499,486801,101.0,70.0
Tamil Nadu,Virudhunagar,9.468872195892564,77.87641469194315,625,1942288,10219,208702,235005,505950,457317,2294,399831,363782,370942,101.0,72.0
Tripura,Dhalai,23.781360477941163,91.94654283088232,291,378230,273,42201,5532,46875,24750,210608,61688,89457,14071,94.0,73.0
Tripura,North Tripura,24.121739755351683,92.17842538226292,292,693947,997,43977,19631,81601,43755,179426,114968,150437,42184,97.0,75.0
Tripura,South Tripura,23.211874098057383,91.6065807585568,290,876001,948,111332,20246,133744,78159,344835,140168,219171,44906,96.0,74.0
